> seis_10
-50 -77
-50 -76
-51 -76
-52 -76
-53 -76
-54 -76
-55 -76
-56 -76
-56 -75
-57 -75
-58 -75
-59 -75
-60 -75
-61 -75
-62 -75
-63 -75
-64 -75
-65 -75
-66 -75
-66 -74
-67 -74
-68 -74
-69 -74
-70 -74
-71 -74
-71 -73
-72 -73
-73 -73
-74 -73
-75 -73
-76 -73
-76 -72
-76 -71
-76 -70
-76 -69
-76 -68
-75 -68
-74 -68
-73 -68
-72 -68
-71 -68
-70 -68
-70 -67
-70 -66
-69 -66
-68 -66
-67 -66
-67 -65
-66 -65
-65 -65
-65 -64
-65 -63
-65 -62
-66 -62
-67 -62
-68 -62
-69 -62
-70 -62
-71 -62
-72 -62
-73 -62
-73 -61
-73 -60
-73 -59
-73 -58
-73 -57
-73 -56
-72 -56
-72 -55
-71 -55
-71 -54
-71 -53
-71 -52
-70 -52
-69 -52
-68 -52
-67 -52
-66 -52
-65 -52
-65 -51
-65 -50
-65 -49
-64 -49
-63 -49
-62 -49
-61 -49
-60 -49
-59 -49
-58 -49
-57 -49
-56 -49
-55 -49
-55 -50
-55 -51
-55 -52
-55 -53
-55 -54
-55 -55
-54 -55
-53 -55
-52 -55
-51 -55
-50 -55
-49 -55
-48 -55
-47 -55
-46 -55
-45 -55
-44 -55
-43 -55
-42 -55
-41 -55
-40 -55
-40 -54
-40 -53
-40 -52
-39 -52
-38 -52
-37 -52
-36 -52
-35 -52
-34 -52
-34 -51
-33 -51
-32 -51
-32 -50
-31 -50
-30 -50
-30 -49
-29 -49
-28 -49
-28 -48
-27 -48
-26 -48
-26 -47
-25 -47
-24 -47
-24 -46
-23 -46
-22 -46
-22 -47
-22 -48
-22 -49
-21 -49
-20 -49
-19 -49
-18 -49
-17 -49
-16 -49
-15 -49
-14 -49
-13 -49
-12 -49
-11 -49
-10 -49
-10 -50
-10 -51
-10 -52
-10 -53
-10 -54
-9 -54
-9 -55
-8 -55
-8 -56
-7 -56
-7 -57
-7 -58
-7 -59
-7 -60
-6 -60
-5 -60
-5 -61
-5 -62
-5 -63
-5 -64
-5 -65
-5 -66
-5 -67
-5 -68
-5 -69
-6 -69
-7 -69
-8 -69
-9 -69
-10 -69
-11 -69
-11 -70
-11 -71
-12 -71
-13 -71
-14 -71
-14 -72
-15 -72
-16 -72
-17 -72
-18 -72
-19 -72
-19 -73
-20 -73
-21 -73
-21 -74
-22 -74
-23 -74
-24 -74
-24 -75
-25 -75
-26 -75
-27 -75
-27 -76
-28 -76
-29 -76
-30 -76
-31 -76
-32 -76
-32 -77
-33 -77
-34 -77
-35 -77
-36 -77
-37 -77
-38 -77
-39 -77
-40 -77
-41 -77
-42 -77
-43 -77
-44 -77
-45 -77
-46 -77
-47 -77
-48 -77
-49 -77
-50 -77
