> seis_14
173 -27
173 -26
172 -26
171 -26
170 -26
169 -26
169 -25
169 -24
168 -24
167 -24
166 -24
165 -24
165 -23
164 -23
164 -22
163 -22
163 -21
162 -21
162 -20
162 -19
162 -18
162 -17
162 -16
162 -15
162 -14
162 -13
163 -13
164 -13
164 -12
164 -11
164 -10
164 -9
164 -8
164 -7
165 -7
166 -7
167 -7
168 -7
169 -7
170 -7
171 -7
172 -7
173 -7
173 -8
173 -9
173 -10
173 -11
173 -12
173 -13
173 -14
173 -15
173 -16
173 -17
173 -18
173 -19
174 -19
175 -19
175 -20
175 -21
175 -22
175 -23
175 -24
175 -25
175 -26
175 -27
174 -27
173 -27
