> seis_37
15 -41
15 -40
15 -39
15 -38
15 -37
15 -36
15 -35
15 -34
15 -33
15 -32
15 -31
15 -30
15 -29
15 -28
15 -27
14 -27
14 -26
14 -25
14 -24
14 -23
14 -22
13 -22
13 -21
13 -20
12 -20
12 -19
11 -19
11 -18
11 -17
11 -16
11 -15
12 -15
12 -14
12 -13
12 -12
13 -12
13 -11
13 -10
12 -10
12 -9
12 -8
12 -7
12 -6
12 -5
11 -5
11 -4
10 -4
10 -3
9 -3
9 -2
9 -1
9 0
8 0
7 0
6 0
5 0
4 0
3 0
2 0
1 0
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
0 16
0 17
0 18
0 19
0 20
0 21
0 22
0 23
0 24
0 25
0 26
0 27
0 28
1 28
2 28
3 28
4 28
5 28
6 28
7 28
8 28
9 28
10 28
10 29
10 30
11 30
12 30
13 30
14 30
15 30
16 30
17 30
18 30
19 30
20 30
21 30
22 30
23 30
24 30
25 30
25 31
25 32
26 32
27 32
28 32
29 32
30 32
31 32
32 32
33 32
34 32
34 31
34 30
35 30
36 30
37 30
38 30
39 30
40 30
41 30
42 30
43 30
44 30
44 29
44 28
44 27
44 26
44 25
45 25
45 24
45 23
45 22
45 21
45 20
46 20
47 20
48 20
48 19
48 18
48 17
48 16
48 15
48 14
48 13
47 13
47 12
47 11
47 10
47 9
47 8
47 7
47 6
47 5
47 4
47 3
47 2
46 2
46 1
45 1
44 1
44 0
43 0
43 -1
43 -2
43 -3
44 -3
45 -3
45 -4
45 -5
46 -5
47 -5
47 -6
47 -7
48 -7
49 -7
49 -8
49 -9
50 -9
51 -9
51 -10
51 -11
51 -12
51 -13
51 -14
51 -15
51 -16
51 -17
51 -18
50 -18
50 -19
50 -20
50 -21
49 -21
49 -22
49 -23
49 -24
48 -24
48 -25
48 -26
47 -26
46 -26
45 -26
44 -26
43 -26
42 -26
41 -26
40 -26
39 -26
38 -26
37 -26
36 -26
35 -26
35 -27
35 -28
35 -29
35 -30
35 -31
35 -32
35 -33
35 -34
35 -35
35 -36
35 -37
35 -38
35 -39
35 -40
35 -41
34 -41
33 -41
32 -41
31 -41
30 -41
29 -41
28 -41
27 -41
26 -41
25 -41
24 -41
23 -41
22 -41
21 -41
20 -41
19 -41
18 -41
17 -41
16 -41
15 -41
> seis_37
351 0
351 1
351 2
350 2
349 2
348 2
347 2
346 2
345 2
344 2
343 2
342 2
342 3
342 4
342 5
342 6
342 7
342 8
342 9
342 10
342 11
342 12
342 13
342 14
342 15
342 16
342 17
342 18
342 19
342 20
342 21
342 22
342 23
342 24
342 25
343 25
344 25
344 26
345 26
345 27
346 27
346 28
347 28
348 28
349 28
350 28
351 28
352 28
353 28
354 28
355 28
356 28
357 28
358 28
359 28
360 28
360 27
360 26
360 25
360 24
360 23
360 22
360 21
360 20
360 19
360 18
360 17
360 16
360 15
360 14
360 13
360 12
360 11
360 10
360 9
360 8
360 7
360 6
360 5
360 4
360 3
360 2
360 1
360 0
359 0
358 0
357 0
356 0
355 0
354 0
353 0
352 0
351 0
