> seis_8
-74 -41
-74 -40
-75 -40
-76 -40
-77 -40
-78 -40
-79 -40
-80 -40
-80 -39
-80 -38
-80 -37
-80 -36
-80 -35
-79 -35
-78 -35
-77 -35
-77 -34
-77 -33
-77 -32
-77 -31
-77 -30
-77 -29
-77 -28
-77 -27
-77 -26
-77 -25
-77 -24
-77 -23
-77 -22
-77 -21
-77 -20
-77 -19
-77 -18
-77 -17
-78 -17
-79 -17
-79 -16
-80 -16
-80 -15
-81 -15
-81 -14
-81 -13
-82 -13
-82 -12
-82 -11
-83 -11
-83 -10
-83 -9
-84 -9
-84 -8
-84 -7
-85 -7
-86 -7
-86 -6
-86 -5
-86 -4
-86 -3
-86 -2
-86 -1
-86 0
-86 1
-86 2
-85 2
-84 2
-83 2
-82 2
-81 2
-80 2
-79 2
-79 3
-78 3
-78 4
-78 5
-78 6
-78 7
-77 7
-77 6
-76 6
-75 6
-74 6
-73 6
-72 6
-71 6
-70 6
-69 6
-68 6
-68 5
-68 4
-67 4
-67 3
-67 2
-67 1
-66 1
-65 1
-64 1
-64 2
-64 3
-64 4
-63 4
-62 4
-62 3
-62 2
-62 1
-62 0
-62 -1
-62 -2
-62 -3
-62 -4
-62 -5
-62 -6
-62 -7
-62 -8
-62 -9
-62 -10
-62 -11
-62 -12
-62 -13
-61 -13
-61 -14
-60 -14
-60 -15
-60 -16
-59 -16
-58 -16
-58 -17
-58 -18
-58 -19
-58 -20
-58 -21
-58 -22
-57 -22
-56 -22
-56 -23
-55 -23
-55 -24
-54 -24
-54 -25
-54 -26
-54 -27
-55 -27
-55 -28
-56 -28
-56 -29
-57 -29
-57 -30
-56 -30
-56 -31
-55 -31
-55 -32
-54 -32
-53 -32
-53 -33
-53 -34
-53 -35
-54 -35
-55 -35
-56 -35
-56 -36
-56 -37
-56 -38
-56 -39
-57 -39
-58 -39
-59 -39
-60 -39
-60 -40
-61 -40
-62 -40
-62 -39
-62 -38
-62 -37
-62 -36
-62 -35
-62 -34
-63 -34
-63 -35
-64 -35
-65 -35
-65 -36
-66 -36
-67 -36
-68 -36
-68 -37
-69 -37
-70 -37
-71 -37
-72 -37
-72 -38
-72 -39
-72 -40
-72 -41
-73 -41
-74 -41
