> seis_7
-67 1
-67 2
-67 3
-67 4
-68 4
-68 5
-68 6
-69 6
-70 6
-71 6
-72 6
-73 6
-74 6
-75 6
-76 6
-77 6
-77 7
-77 8
-77 9
-78 9
-78 10
-77 10
-76 10
-76 11
-76 12
-77 12
-78 12
-79 12
-80 12
-81 12
-82 12
-83 12
-83 13
-83 14
-83 15
-83 16
-84 16
-85 16
-86 16
-87 16
-88 16
-89 16
-89 17
-89 18
-90 18
-91 18
-91 19
-91 20
-91 21
-91 22
-90 22
-89 22
-88 22
-87 22
-86 22
-86 23
-86 24
-85 24
-84 24
-83 24
-82 24
-81 24
-80 24
-79 24
-78 24
-78 23
-77 23
-76 23
-76 22
-75 22
-74 22
-74 21
-73 21
-72 21
-71 21
-70 21
-69 21
-69 20
-69 19
-68 19
-68 20
-67 20
-66 20
-65 20
-64 20
-63 20
-62 20
-61 20
-60 20
-60 19
-60 18
-59 18
-59 17
-59 16
-59 15
-59 14
-59 13
-59 12
-60 12
-60 11
-60 10
-60 9
-60 8
-61 8
-61 7
-61 6
-61 5
-61 4
-62 4
-63 4
-64 4
-64 3
-64 2
-64 1
-65 1
-66 1
-67 1
