> seis_31
-22 25
-22 26
-22 27
-22 28
-22 29
-22 30
-22 31
-22 32
-22 33
-22 34
-21 34
-20 34
-20 35
-19 35
-18 35
-17 35
-16 35
-15 35
-14 35
-13 35
-12 35
-11 35
-10 35
-10 36
-10 37
-10 38
-10 39
-10 40
-10 41
-10 42
-10 43
-10 44
-9 44
-8 44
-7 44
-6 44
-5 44
-4 44
-3 44
-2 44
-1 44
0 44
0 43
1 43
2 43
3 43
4 43
4 42
4 41
3 41
2 41
1 41
1 40
1 39
1 38
2 38
3 38
4 38
5 38
6 38
7 38
8 38
9 38
9 37
8 37
8 36
8 35
8 34
8 33
8 32
9 32
9 31
9 30
10 30
10 29
10 28
9 28
8 28
7 28
6 28
5 28
4 28
3 28
2 28
1 28
0 28
-1 28
-2 28
-3 28
-4 28
-5 28
-6 28
-7 28
-8 28
-9 28
-10 28
-11 28
-12 28
-13 28
-14 28
-14 27
-15 27
-15 26
-16 26
-16 25
-17 25
-18 25
-19 25
-20 25
-21 25
-22 25
> seis_31
-351 30
-351 31
-351 32
-352 32
-352 33
-352 34
-352 35
-352 36
-352 37
-351 37
-351 38
-352 38
-353 38
-354 38
-355 38
-356 38
-357 38
-358 38
-359 38
-359 39
-359 40
-359 41
-358 41
-357 41
-356 41
-356 42
-356 43
-357 43
-357 44
-356 44
-355 44
-354 44
-353 44
-352 44
-351 44
-350 44
-349 44
-348 44
-347 44
-347 45
-346 45
-346 46
-346 47
-345 47
-344 47
-343 47
-343 46
-342 46
-341 46
-340 46
-339 46
-339 45
-338 45
-338 44
-337 44
-337 43
-338 43
-338 42
-337 42
-337 41
-338 41
-339 41
-339 40
-339 39
-340 39
-340 38
-339 38
-339 37
-339 36
-338 36
-337 36
-337 35
-337 34
-336 34
-335 34
-335 33
-335 32
-335 31
-335 30
-336 30
-337 30
-338 30
-339 30
-340 30
-341 30
-342 30
-343 30
-344 30
-345 30
-346 30
-347 30
-348 30
-349 30
-350 30
-351 30
