> seis_18
148 12
148 13
148 14
147 14
146 14
146 13
145 13
144 13
144 14
143 14
142 14
141 14
141 13
140 13
139 13
138 13
137 13
137 14
137 15
137 16
137 17
137 18
137 19
137 20
137 21
137 22
137 23
137 24
137 25
137 26
137 27
137 28
137 29
137 30
137 31
137 32
137 33
138 33
138 34
139 34
140 34
141 34
141 33
142 33
143 33
144 33
144 32
144 31
144 30
144 29
145 29
145 28
145 27
145 26
145 25
145 24
145 23
145 22
146 22
147 22
148 22
149 22
150 22
150 21
150 20
150 19
150 18
150 17
150 16
150 15
150 14
150 13
150 12
149 12
148 12
