> seis_25
105 0
105 1
105 2
105 3
104 3
104 4
104 5
104 6
104 7
104 8
104 9
104 10
103 10
103 11
102 11
102 12
101 12
100 12
100 13
99 13
98 13
97 13
97 14
97 15
96 15
95 15
94 15
94 16
94 17
94 18
93 18
93 19
93 20
92 20
92 21
92 22
93 22
93 23
93 24
93 25
94 25
94 26
95 26
95 27
95 28
96 28
97 28
98 28
98 29
99 29
99 28
99 27
99 26
99 25
99 24
100 24
100 23
101 23
102 23
102 22
103 22
104 22
105 22
105 23
106 23
107 23
107 22
108 22
108 21
108 20
109 20
110 20
111 20
112 20
112 21
113 21
114 21
115 21
116 21
117 21
117 20
117 19
117 18
117 17
117 16
117 15
117 14
117 13
117 12
117 11
117 10
117 9
117 8
116 8
116 7
116 6
115 6
115 5
114 5
114 4
113 4
113 3
112 3
111 3
111 2
110 2
109 2
108 2
108 1
108 0
107 0
106 0
105 0
