> seis_36
0 43
0 44
-1 44
-2 44
-3 44
-4 44
-5 44
-5 45
-5 46
-5 47
-5 48
-5 49
-4 49
-3 49
-3 50
-4 50
-5 50
-6 50
-6 51
-7 51
-8 51
-9 51
-10 51
-11 51
-11 52
-11 53
-11 54
-11 55
-10 55
-9 55
-9 56
-8 56
-8 57
-8 58
-8 59
-7 59
-6 59
-5 59
-4 59
-4 60
-4 61
-3 61
-2 61
-1 61
0 61
1 61
2 61
3 61
4 61
4 60
4 59
5 59
5 58
6 58
7 58
8 58
8 57
8 56
8 55
8 54
7 54
6 54
5 54
4 54
3 54
2 54
1 54
1 53
2 53
2 52
2 51
1 51
1 50
2 50
3 50
4 50
5 50
6 50
6 49
7 49
8 49
8 48
7 48
7 47
6 47
6 46
7 46
7 45
7 44
6 44
5 44
4 44
3 44
3 43
2 43
1 43
0 43
> seis_36
-353 44
-353 45
-353 46
-354 46
-354 47
-353 47
-353 48
-352 48
-352 49
-353 49
-354 49
-354 50
-355 50
-356 50
-357 50
-358 50
-359 50
-359 51
-358 51
-358 52
-358 53
-359 53
-359 54
-358 54
-357 54
-356 54
-355 54
-354 54
-353 54
-352 54
-352 55
-352 56
-352 57
-352 58
-353 58
-354 58
-355 58
-355 59
-356 59
-356 60
-356 61
-356 62
-355 62
-355 63
-354 63
-353 63
-353 64
-352 64
-351 64
-350 64
-349 64
-348 64
-347 64
-346 64
-346 65
-346 66
-345 66
-344 66
-344 67
-343 67
-343 68
-342 68
-341 68
-340 68
-340 69
-339 69
-338 69
-338 68
-337 68
-336 68
-336 67
-336 66
-336 65
-337 65
-337 64
-338 64
-339 64
-339 63
-340 63
-340 62
-341 62
-341 61
-341 60
-340 60
-339 60
-339 59
-339 58
-339 57
-339 56
-339 55
-340 55
-340 54
-339 54
-338 54
-337 54
-336 54
-336 53
-336 52
-336 51
-336 50
-337 50
-337 49
-338 49
-338 48
-338 47
-339 47
-339 46
-340 46
-341 46
-342 46
-343 46
-343 47
-344 47
-345 47
-346 47
-346 46
-346 45
-347 45
-347 44
-348 44
-349 44
-350 44
-351 44
-352 44
-353 44
