> seis_29
48 14
48 15
48 16
48 17
48 18
48 19
48 20
47 20
46 20
45 20
45 21
45 22
45 23
45 24
45 25
44 25
44 26
44 27
44 28
44 29
45 29
46 29
47 29
47 30
47 31
47 32
46 32
46 33
45 33
45 34
45 35
45 36
44 36
44 37
44 38
44 39
44 40
45 40
45 41
45 42
45 43
45 44
46 44
47 44
48 44
48 45
48 46
49 46
49 47
48 47
48 48
47 48
47 49
47 50
48 50
49 50
49 51
50 51
50 52
51 52
52 52
53 52
53 51
54 51
55 51
55 52
55 53
55 54
55 55
55 56
55 57
55 58
55 59
55 60
55 61
55 62
55 63
55 64
55 65
55 66
55 67
56 67
57 67
58 67
59 67
60 67
61 67
61 68
62 68
63 68
64 68
64 69
65 69
66 69
67 69
68 69
68 68
68 67
68 66
68 65
67 65
66 65
65 65
65 64
65 63
64 63
63 63
63 62
63 61
63 60
63 59
63 58
63 57
63 56
63 55
63 54
64 54
65 54
65 53
65 52
65 51
65 50
65 49
65 48
65 47
65 46
65 45
65 44
65 43
65 42
65 41
65 40
65 39
65 38
65 37
65 36
65 35
65 34
65 33
65 32
65 31
65 30
65 29
65 28
65 27
65 26
65 25
66 25
66 24
67 24
67 23
68 23
68 22
67 22
66 22
65 22
65 23
64 23
63 23
62 23
61 23
60 23
60 22
60 21
59 21
59 20
58 20
58 19
58 18
57 18
57 17
56 17
56 16
55 16
54 16
53 16
53 15
52 15
51 15
51 14
50 14
49 14
48 14
