letter	AvantGarde-BookOblique	AvantGarde-Book	AvantGarde-DemiOblique	AvantGarde-Demi	Bookman-Demi	Bookman-Demiltalic	Bookman-LightItalic	Bookman-Light	Courier-Bold	Courier-Boldoblique	Courier-Oblique	Courier	Helvetica-BoldOblique	Helvetica-Bold	Helvetica-Narrow-BoldOblique	Helvetica-Narrow-Bold	Helvetica-Narrow-Oblique	Helvetica-Narrow	Helvetica-Oblique	Helvetica	NewCenturySchlbk-BoldItalic	NewCenturySchlbk-Bold	NewCenturySchlbk-Italic	NewCenturySchlbk-Roman	Palatino-Bold	Palatino-Boldltalic	Palatino-Italic	Palatino-Roman	Symbol	Times-Bold	Times-Boldltalic	Times-Italic	Times-Roman	ZapfChancery-MediumItalic	ZapfDingbats
6	.02021416666666666666	.02021416666666666666	.02042583333333333333	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02169550000000000000	.02063866666666666666	.02174833333333333333	.02169550000000000000	.02053166666666666666	.02053283333333333333	.01693333333333333333	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02053166666666666666	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01841500000000000000	.01836166666666666666	.01651000000000000000	.02762250000000000000
7	.02042583333333333333	.02021416666666666666	.02063750000000000000	.02042583333333333333	.02423583333333333333	.02011033333333333333	.02254250000000000000	.02275416666666666666	.02196050000000000000	.02011033333333333333	.02169550000000000000	.02169550000000000000	.02063833333333333333	.02053283333333333333	.01704083333333333333	.01672366666666666666	.01693500000000000000	.01672366666666666666	.02063833333333333333	.02011033333333333333	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02011033333333333333	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02011033333333333333	.01841500000000000000	.01836166666666666666	.01643435000000000000	.02084916666666666666
8	.02021416666666666666	.02021416666666666666	.02042583333333333333	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02196050000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02053166666666666666	.02053283333333333333	.01693333333333333333	.01672366666666666666	.01682750000000000000	.01672366666666666666	.02042583333333333333	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01629833333333333333	.02465916666666666666
9	.02042583333333333333	.02021416666666666666	.02053166666666666666	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02169550000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02053166666666666666	.02053283333333333333	.01693333333333333333	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02042583333333333333	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01619250000000000000	.02774983333333333333
:	.01016000000000000000	.01016000000000000000	.01038116666666666666	.01038116666666666666	.01233908333333333333	.01016000000000000000	.01090041666666666666	.01164166666666666666	.02169550000000000000	.01016000000000000000	.02169550000000000000	.02169550000000000000	.01228700000000000000	.01208608333333333333	.01005416666666666666	.01005416666666666666	.00849353333333333333	.00849353333333333333	.01037166666666666666	.01016000000000000000	.01071935000000000000	.01047750000000000000	.01037166666666666666	.01016000000000000000	.00920750000000000000	.01016000000000000000	.00931333333333333333	.00931333333333333333	.01016000000000000000	.01208608333333333333	.01016000000000000000	.01239325000000000000	.01037166666666666666	.00963083333333333333	.02762250000000000000
;	.01026583333333333333	.01026583333333333333	.01038116666666666666	.01038116666666666666	.01233908333333333333	.01016000000000000000	.01090041666666666666	.01164166666666666666	.02169550000000000000	.01016000000000000000	.02169550000000000000	.02169550000000000000	.01248833333333333333	.01208608333333333333	.01005416666666666666	.01005416666666666666	.00849353333333333333	.00849353333333333333	.01047750000000000000	.01016000000000000000	.01071935000000000000	.01047750000000000000	.01037166666666666666	.01016000000000000000	.00920750000000000000	.01016000000000000000	.00931333333333333333	.00931333333333333333	.01016000000000000000	.01208608333333333333	.01016000000000000000	.01239325000000000000	.01037166666666666666	.00899583333333333333	.02762250000000000000
<	.02222500000000000000	.02211916666666666666	.02196000000000000000	.02185450000000000000	.02206616666666666666	.02159000000000000000	.02185416666666666666	.02206616666666666666	.02196050000000000000	.02159000000000000000	.02196050000000000000	.02196050000000000000	.02137833333333333333	.02148416666666666666	.01767416666666666666	.01746250000000000000	.01756833333333333333	.01746250000000000000	.02137833333333333333	.02159000000000000000	.02222500000000000000	.02233083333333333333	.02222500000000000000	.02201333333333333333	.02211916666666666666	.02159000000000000000	.02222500000000000000	.02222500000000000000	.02021416666666666666	.02089050000000000000	.02159000000000000000	.02439416666666666666	.02067683333333333333	.01905000000000000000	.02741083333333333333
=	.02211916666666666666	.02211916666666666666	.02185450000000000000	.02185450000000000000	.02206616666666666666	.02116666666666666666	.02169550000000000000	.02206616666666666666	.02196050000000000000	.02116666666666666666	.02174833333333333333	.02196050000000000000	.02127250000000000000	.02148416666666666666	.01756833333333333333	.01746250000000000000	.01746250000000000000	.01746250000000000000	.02127250000000000000	.02116666666666666666	.02222500000000000000	.02233083333333333333	.02222500000000000000	.02201333333333333333	.02211916666666666666	.02116666666666666666	.02222500000000000000	.02222500000000000000	.02021416666666666666	.02089050000000000000	.02116666666666666666	.02439416666666666666	.02067683333333333333	.01883833333333333333	.01804216666666666666
>	.02211916666666666666	.02211916666666666666	.02190750000000000000	.02185450000000000000	.02206616666666666666	.02116666666666666666	.02174833333333333333	.02206616666666666666	.02196050000000000000	.02116666666666666666	.02196050000000000000	.02196050000000000000	.02127250000000000000	.02148416666666666666	.01746250000000000000	.01746250000000000000	.01746250000000000000	.01746250000000000000	.02127250000000000000	.02116666666666666666	.02222500000000000000	.02233083333333333333	.02222500000000000000	.02201333333333333333	.02211916666666666666	.02116666666666666666	.02222500000000000000	.02222500000000000000	.02021416666666666666	.02089050000000000000	.02116666666666666666	.02439416666666666666	.02067683333333333333	.01905000000000000000	.02014350000000000000
?	.02148416666666666666	.02148416666666666666	.02032000000000000000	.02042583333333333333	.02423583333333333333	.02011033333333333333	.01971566666666666666	.01992766666666666666	.02169550000000000000	.02011033333333333333	.02169550000000000000	.02169550000000000000	.02226300000000000000	.02208983333333333333	.01830916666666666666	.01830916666666666666	.01672333333333333333	.01672366666666666666	.02042666666666666666	.02011033333333333333	.01770183333333333333	.01846750000000000000	.01608666666666666666	.01661583333333333333	.01619250000000000000	.02011033333333333333	.01809633333333333333	.01629833333333333333	.01608666666666666666	.01836166666666666666	.02011033333333333333	.01809633333333333333	.01629833333333333333	.01429700000000000000	.01957916666666666666
@	.01570343333333333333	.01589525000000000000	.01397000000000000000	.01358841666666666666	.01526108333333333333	.01883833333333333333	.01418166666666666666	.01526108333333333333	.01116541666666666666	.01883833333333333333	.01090041666666666666	.01090041666666666666	.01799166666666666666	.01803133333333333333	.01449833333333333333	.01465791666666666666	.01507380000000000000	.01507380000000000000	.01852083333333333333	.01883833333333333333	.01375833333333333333	.01386416666666666666	.01375833333333333333	.01336476666666666666	.01365250000000000000	.01883833333333333333	.01375833333333333333	.01375833333333333333	.01038903333333333333	.01693333333333333333	.01883833333333333333	.01672166666666666666	.01672166666666666666	.01291166666666666666	.01068916666666666666
A	.02691233333333333333	.02691233333333333333	.02691233333333333333	.02691233333333333333	.02645833333333333333	.02455333333333333333	.02587550000000000000	.02498666666666666666	.02196050000000000000	.02455333333333333333	.02196050000000000000	.02196050000000000000	.02627100000000000000	.02648266666666666666	.02160366666666666666	.02160366666666666666	.01994833333333333333	.01994833333333333333	.02423583333333333333	.02455333333333333333	.02788333333333333333	.02783416666666666666	.02658233333333333333	.02669433333333333333	.02825750000000000000	.02455333333333333333	.02637683333333333333	.02836333333333333333	.02648266666666666666	.02637683333333333333	.02455333333333333333	.02236933333333333333	.02637683333333333333	.02264833333333333333	.02520233333333333333
B	.02096250000000000000	.02096250000000000000	.02117616666666666666	.02117616666666666666	.02635250000000000000	.02413000000000000000	.02656416666666666666	.02712400000000000000	.02196050000000000000	.02413000000000000000	.02196050000000000000	.02196050000000000000	.02635250000000000000	.02608333333333333333	.02169583333333333333	.02160366666666666666	.02000250000000000000	.01994833333333333333	.02434166666666666666	.02413000000000000000	.02772833333333333333	.02846916666666666666	.02637683333333333333	.02608333333333333333	.02423583333333333333	.02413000000000000000	.02236933333333333333	.02236933333333333333	.02444750000000000000	.02434166666666666666	.02413000000000000000	.02236933333333333333	.02434166666666666666	.02190750000000000000	.02858733333333333333
C	.02952750000000000000	.02952750000000000000	.02857500000000000000	.02837366666666666666	.02712400000000000000	.02608333333333333333	.02603500000000000000	.02712400000000000000	.02196050000000000000	.02608333333333333333	.02174833333333333333	.02196050000000000000	.02637650000000000000	.02648266666666666666	.02180166666666666666	.02160366666666666666	.02169583333333333333	.02160366666666666666	.02616483333333333333	.02608333333333333333	.02772833333333333333	.02846916666666666666	.02637683333333333333	.02608333333333333333	.02627100000000000000	.02608333333333333333	.02434166666666666666	.02593200000000000000	.02648266666666666666	.02637683333333333333	.02608333333333333333	.02434166666666666666	.02434166666666666666	.01947333333333333333	.02862333333333333333
D	.02698750000000000000	.02698750000000000000	.02550583333333333333	.02545216666666666666	.02858533333333333333	.02608333333333333333	.02741083333333333333	.02926250000000000000	.02196050000000000000	.02608333333333333333	.02196050000000000000	.02196050000000000000	.02645833333333333333	.02608333333333333333	.02169583333333333333	.02160366666666666666	.02169583333333333333	.02160366666666666666	.02635250000000000000	.02608333333333333333	.03038566666666666666	.03049150000000000000	.02836333333333333333	.02815166666666666666	.03027983333333333333	.02608333333333333333	.02836333333333333333	.02826583333333333333	.02254250000000000000	.02637683333333333333	.02608333333333333333	.02637683333333333333	.02637683333333333333	.02561166666666666666	.02862333333333333333
E	.01989666666666666666	.01957916666666666666	.01926166666666666666	.01894416666666666666	.02635250000000000000	.02413000000000000000	.02529416666666666666	.02635250000000000000	.02196050000000000000	.02413000000000000000	.02196050000000000000	.02196050000000000000	.02465916666666666666	.02413000000000000000	.02021416666666666666	.01994833333333333333	.02021416666666666666	.01994833333333333333	.02455333333333333333	.02413000000000000000	.02703666666666666666	.02783416666666666666	.02637683333333333333	.02608333333333333333	.02226350000000000000	.02413000000000000000	.02236933333333333333	.02236933333333333333	.02247516666666666666	.02434166666666666666	.02413000000000000000	.02236933333333333333	.02236933333333333333	.02264833333333333333	.02868083333333333333
F	.01809750000000000000	.01767416666666666666	.01799166666666666666	.01757866666666666666	.02498666666666666666	.02208983333333333333	.02349500000000000000	.02352650000000000000	.02196050000000000000	.02208983333333333333	.02211916666666666666	.02196050000000000000	.02286000000000000000	.02208983333333333333	.01873250000000000000	.01830916666666666666	.01873250000000000000	.01830916666666666666	.02275416666666666666	.02208983333333333333	.02573566666666666666	.02648266666666666666	.02434166666666666666	.02413000000000000000	.02032116666666666666	.02208983333333333333	.02042700000000000000	.02042700000000000000	.02796150000000000000	.02236933333333333333	.02208983333333333333	.02236933333333333333	.02042700000000000000	.02190750000000000000	.02881850000000000000
G	.03153833333333333333	.03164416666666666666	.03058583333333333333	.03051100000000000000	.02858533333333333333	.02857500000000000000	.02762250000000000000	.02926250000000000000	.02196050000000000000	.02857500000000000000	.02174833333333333333	.02196050000000000000	.02815166666666666666	.02846916666666666666	.02317750000000000000	.02317750000000000000	.02317750000000000000	.02317750000000000000	.02815166666666666666	.02857500000000000000	.02974333333333333333	.03049150000000000000	.02836333333333333333	.02815166666666666666	.03027983333333333333	.02857500000000000000	.02637683333333333333	.02785566666666666666	.02222533333333333333	.02836333333333333333	.02857500000000000000	.02637683333333333333	.02637683333333333333	.02254250000000000000	.02883716666666666666
H	.02497666666666666666	.02487083333333333333	.02497666666666666666	.02477500000000000000	.02995083333333333333	.02608333333333333333	.02984500000000000000	.02926250000000000000	.02196050000000000000	.02608333333333333333	.02211916666666666666	.02196050000000000000	.02667000000000000000	.02608333333333333333	.02180166666666666666	.02160366666666666666	.02180166666666666666	.02160366666666666666	.02656416666666666666	.02608333333333333333	.03175000000000000000	.03179133333333333333	.03038566666666666666	.03007933333333333333	.03027983333333333333	.02608333333333333333	.02836333333333333333	.03026833333333333333	.02648266666666666666	.02836333333333333333	.02608333333333333333	.02645833333333333333	.02637683333333333333	.02592916666666666666	.02965600000000000000
I	.00867833333333333333	.00836083333333333333	.01068916666666666666	.01038116666666666666	.01486875000000000000	.01016000000000000000	.01259416666666666666	.01273141666666666666	.02196050000000000000	.01016000000000000000	.02169550000000000000	.02169550000000000000	.01068916666666666666	.01047750000000000000	.00889000000000000000	.00849353333333333333	.00867833333333333333	.00849353333333333333	.01047750000000000000	.01016000000000000000	.01640416666666666666	.01640416666666666666	.01502833333333333333	.01481666666666666666	.01428750000000000000	.01016000000000000000	.01239325000000000000	.01248833333333333333	.01249908333333333333	.01439333333333333333	.01016000000000000000	.01259416666666666666	.01239325000000000000	.01439333333333333333	.02988716666666666666
